"expr" "time"
"119" "map_dbl(1:170, Factorial_mem)" 1410231
"120" "mapply(Factorial_reduce, 1:170)" 463725
"121" "mapply(Factorial_reduce, 1:170)" 514616
"122" "mapply(Factorial_reduce, 1:170)" 451453
"123" "mapply(Factorial_reduce, 1:170)" 425105
"124" "mapply(Factorial_reduce, 1:170)" 418235
"125" "mapply(Factorial_loop, 1:170)" 4522351
"126" "mapply(Factorial_loop, 1:170)" 7151550
"127" "mapply(Factorial_loop, 1:170)" 4235499
"128" "mapply(Factorial_loop, 1:170)" 4176488
"129" "mapply(Factorial_loop, 1:170)" 4308556
"130" "mapply(Factorial_func, 1:170)" 31996149
"131" "mapply(Factorial_func, 1:170)" 34180724
"132" "mapply(Factorial_reduce, 1:170)" 590976
"133" "mapply(Factorial_reduce, 1:170)" 851549
"134" "mapply(Factorial_reduce, 1:170)" 703654
"135" "mapply(Factorial_func, 1:170)" 47194632
"136" "map_dbl(1:170, Factorial_mem)" 2904546
"137" "map_dbl(1:170, Factorial_mem)" 5021914
"138" "mapply(Factorial_func, 1:170)" 53622659
"139" "map_dbl(1:170, Factorial_mem)" 2527486
"140" "mapply(Factorial_loop, 1:170)" 8309657
"141" "map_dbl(1:170, Factorial_mem)" 2840492
"142" "mapply(Factorial_reduce, 1:170)" 861472
"143" "mapply(Factorial_reduce, 1:170)" 852172
"144" "mapply(Factorial_func, 1:170)" 43822674
"145" "map_dbl(1:170, Factorial_mem)" 1262640
"146" "mapply(Factorial_reduce, 1:170)" 586792
"147" "mapply(Factorial_loop, 1:170)" 4008269
"148" "mapply(Factorial_reduce, 1:170)" 468571
"149" "mapply(Factorial_loop, 1:170)" 3925730
"150" "map_dbl(1:170, Factorial_mem)" 1241971
"151" "mapply(Factorial_reduce, 1:170)" 414173
"152" "map_dbl(1:170, Factorial_mem)" 1204714
"153" "mapply(Factorial_func, 1:170)" 31981849
"154" "map_dbl(1:170, Factorial_mem)" 1248216
"155" "map_dbl(1:170, Factorial_mem)" 1310620
"156" "mapply(Factorial_reduce, 1:170)" 786474
"157" "mapply(Factorial_loop, 1:170)" 3917601
"158" "mapply(Factorial_func, 1:170)" 30034475
"159" "mapply(Factorial_loop, 1:170)" 4269924
"160" "map_dbl(1:170, Factorial_mem)" 1318976
"161" "mapply(Factorial_func, 1:170)" 31615561
"162" "mapply(Factorial_reduce, 1:170)" 534148
"163" "mapply(Factorial_loop, 1:170)" 3930777
"164" "map_dbl(1:170, Factorial_mem)" 1276719
"165" "mapply(Factorial_func, 1:170)" 32000402
"166" "map_dbl(1:170, Factorial_mem)" 1235868
"167" "map_dbl(1:170, Factorial_mem)" 1275456
"168" "mapply(Factorial_func, 1:170)" 28965604
"169" "map_dbl(1:170, Factorial_mem)" 1275629
"170" "map_dbl(1:170, Factorial_mem)" 1323740
"171" "mapply(Factorial_reduce, 1:170)" 509826
"172" "mapply(Factorial_loop, 1:170)" 4233440
"173" "map_dbl(1:170, Factorial_mem)" 1340247
"174" "mapply(Factorial_reduce, 1:170)" 471855
"175" "map_dbl(1:170, Factorial_mem)" 1289178
"176" "mapply(Factorial_func, 1:170)" 36311461
"177" "map_dbl(1:170, Factorial_mem)" 1243352
"178" "mapply(Factorial_func, 1:170)" 32658500
"179" "mapply(Factorial_reduce, 1:170)" 471008
"180" "mapply(Factorial_loop, 1:170)" 3893917
"181" "mapply(Factorial_loop, 1:170)" 4001033
"182" "map_dbl(1:170, Factorial_mem)" 1306343
"183" "mapply(Factorial_func, 1:170)" 29309411
"184" "mapply(Factorial_func, 1:170)" 31816069
"185" "mapply(Factorial_reduce, 1:170)" 533620
"186" "map_dbl(1:170, Factorial_mem)" 1262119
"187" "mapply(Factorial_func, 1:170)" 32455144
"188" "mapply(Factorial_func, 1:170)" 28846919
"189" "mapply(Factorial_func, 1:170)" 32242878
"190" "map_dbl(1:170, Factorial_mem)" 1257404
"191" "map_dbl(1:170, Factorial_mem)" 1222315
"192" "mapply(Factorial_reduce, 1:170)" 483458
"193" "mapply(Factorial_loop, 1:170)" 3964842
"194" "mapply(Factorial_reduce, 1:170)" 478882
"195" "map_dbl(1:170, Factorial_mem)" 1225981
"196" "mapply(Factorial_func, 1:170)" 29743696
"197" "mapply(Factorial_reduce, 1:170)" 486274
"198" "mapply(Factorial_loop, 1:170)" 10992337
"199" "mapply(Factorial_func, 1:170)" 29033684
"200" "mapply(Factorial_loop, 1:170)" 4001744
"201" "mapply(Factorial_func, 1:170)" 32707786
"202" "map_dbl(1:170, Factorial_mem)" 1259934
"203" "mapply(Factorial_func, 1:170)" 29511673
"204" "mapply(Factorial_func, 1:170)" 31717275
"205" "mapply(Factorial_reduce, 1:170)" 476680
"206" "mapply(Factorial_loop, 1:170)" 3931083
"207" "mapply(Factorial_reduce, 1:170)" 465407
"208" "mapply(Factorial_func, 1:170)" 32472828
"209" "mapply(Factorial_reduce, 1:170)" 516785
"210" "mapply(Factorial_func, 1:170)" 28977730
"211" "mapply(Factorial_reduce, 1:170)" 478577
"212" "mapply(Factorial_loop, 1:170)" 4026930
"213" "mapply(Factorial_loop, 1:170)" 4110538
"214" "map_dbl(1:170, Factorial_mem)" 1438959
"215" "mapply(Factorial_func, 1:170)" 31911688
"216" "mapply(Factorial_loop, 1:170)" 4065876
"217" "mapply(Factorial_loop, 1:170)" 3963495
"218" "mapply(Factorial_func, 1:170)" 32322432
"219" "mapply(Factorial_func, 1:170)" 28788473
"220" "mapply(Factorial_func, 1:170)" 32189068
"221" "mapply(Factorial_loop, 1:170)" 4077433
"222" "mapply(Factorial_func, 1:170)" 29606408
"223" "mapply(Factorial_reduce, 1:170)" 499519
"224" "mapply(Factorial_func, 1:170)" 32622352
"225" "mapply(Factorial_loop, 1:170)" 4082268
"226" "mapply(Factorial_loop, 1:170)" 4015137
"227" "mapply(Factorial_func, 1:170)" 32255758
"228" "mapply(Factorial_loop, 1:170)" 3968016
"229" "mapply(Factorial_reduce, 1:170)" 521751
"230" "mapply(Factorial_loop, 1:170)" 3941011
"231" "map_dbl(1:170, Factorial_mem)" 1255366
"232" "mapply(Factorial_loop, 1:170)" 3941242
"233" "mapply(Factorial_func, 1:170)" 29922080
"234" "map_dbl(1:170, Factorial_mem)" 3707726
"235" "mapply(Factorial_func, 1:170)" 28988335
"236" "mapply(Factorial_func, 1:170)" 32391686
"237" "mapply(Factorial_func, 1:170)" 29172268
"238" "mapply(Factorial_func, 1:170)" 33589483
"239" "map_dbl(1:170, Factorial_mem)" 1289108
"240" "mapply(Factorial_reduce, 1:170)" 485953
"241" "mapply(Factorial_loop, 1:170)" 3925632
"242" "mapply(Factorial_func, 1:170)" 32462332
